disease_id,disease_name
C0349566,Squamous cell carcinoma of tongue
C0476089,Endometrial Carcinoma
C0494165,Secondary malignant neoplasm of liver
C0684249,Carcinoma of lung
C1290884,Inflammatory disorder
C1302401,Adenoma of large intestine
C1305855,Body mass index
C1306460,Primary malignant neoplasm of lung
C1510586,Autism Spectrum Disorders
C1519670,Tumor Angiogenesis
C1704272,Benign Prostatic Hyperplasia
C1961099,Precursor T-Cell Lymphoblastic Leukemia-Lymphoma
C2939419,Secondary Neoplasm
C4722085,Malignant neoplasm of colon and/or rectum
C0000737,Abdominal Pain
C0000768,Congenital Abnormality
C0000846,Agenesis
C0001339,Acute pancreatitis
C0001486,Adenovirus Infections
C0001883,Airway Obstruction
C0001973,"Alcoholic Intoxication, Chronic"
C0002063,Alkalosis
C0002793,Anaplasia
C0002871,Anemia
C0003123,Anorexia
C0003130,Anoxia
C0003868,"Arthritis, Gouty"
C0003872,"Arthritis, Psoriatic"
C0003962,Ascites
C0004030,Aspergillosis
C0004031,"Aspergillosis, Allergic Bronchopulmonary"
C0004763,Barrett Esophagus
C0005940,Bone Diseases
C0006267,Bronchiectasis
C0006277,Bronchitis
C0006625,Cachexia
C0007095,Carcinoid Tumor
C0007131,Non-Small Cell Lung Carcinoma
C0007570,Celiac Disease
C0007785,Cerebral Infarction
C0007847,Malignant tumor of cervix
C0008031,Chest Pain
C0008311,Cholangitis
C0008312,Primary biliary cirrhosis
C0008313,"Cholangitis, Sclerosing"
C0008340,Choledochal Cyst
C0008354,Cholera
C0008370,Cholestasis
C0008497,Choriocarcinoma
C0008533,Hemophilia B
C0008626,Congenital chromosomal disease
C0008677,"Bronchitis, Chronic"
C0009080,Clubbed Fingers
C0009319,Colitis
C0009404,Colorectal Neoplasms
C0009439,"Choledochal Cyst, Type I"
C0009806,Constipation
C0010034,Corneal Diseases
C0010068,Coronary heart disease
C0010200,Coughing
C0010417,Cryptorchidism
C0010474,Curling Ulcer
C0010674,Cystic Fibrosis
C0010709,Cyst
C0011175,Dehydration
C0011813,Dextrocardia
C0011854,"Diabetes Mellitus, Insulin-Dependent"
C0011991,Diarrhea
C0012242,Digestive System Disorders
C0013146,Drug abuse
C0013170,Drug habituation
C0013222,Drug Use Disorders
C0013238,Dry Eye Syndromes
C0013264,"Muscular Dystrophy, Duchenne"
C0013274,Patent ductus arteriosus
C0013404,Dyspnea
C0013990,Pathological accumulation of air in tissues
C0014378,Enterovirus Infections
C0014859,Esophageal Neoplasms
C0015230,Exanthema
C0015397,Disorder of eye
C0015403,Eye Infection
C0015544,Failure to Thrive
C0015967,Fever
C0016059,Fibrosis
C0017178,Gastrointestinal Diseases
C0017205,Gaucher Disease
C0018099,Gout
C0018520,Halitosis
C0018834,Heartburn
C0018995,Hemochromatosis
C0019079,Hemoptysis
C0019202,Hepatolenticular Degeneration
C0019209,Hepatomegaly
C0019284,Diaphragmatic Hernia
C0020437,Hypercalcemia
C0020438,Hypercalciuria
C0020557,Hypertriglyceridemia
C0020625,Hyponatremia
C0021051,Immunologic Deficiency Syndromes
C0021390,Inflammatory Bowel Diseases
C0021400,Influenza
C0021831,Intestinal Diseases
C0021843,Intestinal Obstruction
C0022336,Creutzfeldt-Jakob disease
C0022346,Icterus
C0022521,Kartagener Syndrome
C0022568,Keratitis
C0022658,Kidney Diseases
C0022680,Polycystic Kidney Diseases
C0022735,Klinefelter Syndrome
C0023418,leukemia
C0023518,Leukocytosis
C0023892,Biliary cirrhosis
C0023895,Liver diseases
C0024115,Lung diseases
C0024141,"Lupus Erythematosus, Systemic"
C0024232,Lymphatic Metastasis
C0024299,Lymphoma
C0024523,Malabsorption Syndrome
C0024809,Marijuana Abuse
C0025218,Chloasma
C0025268,Multiple Endocrine Neoplasia Type 2a
C0026916,Mycobacterium avium-intracellulare Infection
C0027430,Nasal Polyps
C0027498,Nausea and vomiting
C0027831,Neurofibromatosis 1
C0028960,Oligospermia
C0028961,Oliguria
C0029231,"Organic Mental Disorders, Substance-Induced"
C0029453,Osteopenia
C0029883,Otitis Media with Effusion
C0030286,Pancreatic Diseases
C0030293,Pancreatic Insufficiency
C0030299,Pancreatic Pseudocyst
C0030305,Pancreatitis
C0030389,Parainfluenza
C0030469,Paranasal Sinus Disorder
C0030552,Paresis
C0031090,Periodontal Diseases
C0031099,Periodontitis
C0032227,Pleural effusion disorder
C0033770,Prune Belly Syndrome
C0033817,Pseudomonas Infections
C0034066,Pulmonary embolism with pulmonary infarction
C0034067,Pulmonary Emphysema
C0034069,Pulmonary Fibrosis
C0034072,Cor pulmonale
C0034152,Henoch-Schoenlein Purpura
C0034642,Rales
C0034888,Rectal Prolapse
C0035204,Respiration Disorders
C0035222,"Respiratory Distress Syndrome, Adult"
C0035235,Respiratory Syncytial Virus Infections
C0035242,Respiratory Tract Diseases
C0035243,Respiratory Tract Infections
C0035455,Rhinitis
C0036130,Salpingitis
C0036202,Sarcoidosis
C0036572,Seizures
C0037090,"Signs and Symptoms, Respiratory"
C0037199,Sinusitis
C0037369,Smoking
C0038238,Steatorrhea
C0038358,Gastric ulcer
C0038580,Substance Dependence
C0038586,Substance Use Disorders
C0040580,Tracheal Diseases
C0041466,Typhoid Fever
C0041956,Ureteral obstruction
C0042769,Virus Diseases
C0042880,Vitamin K Deficiency
C0043144,Wheezing
C0085083,Ovarian Hyperstimulation Syndrome
C0085096,Peripheral Vascular Diseases
C0085129,Bronchial Hyperreactivity
C0085413,"Polycystic Kidney, Autosomal Dominant"
C0085548,Autosomal Recessive Polycystic Kidney Disease
C0085669,Acute leukemia
C0085786,Hamman-Rich syndrome
C0086942,Rous Sarcoma
C0149516,Chronic sinusitis
C0149521,"Pancreatitis, Chronic"
C0149651,Clubbing
C0149725,Lower respiratory tract infection
C0151476,Hypochloremic alkalosis
C0151650,Renal fibrosis
C0151786,Muscle Weakness
C0152013,Adenocarcinoma of lung (disorder)
C0152018,Esophageal carcinoma
C0152244,"Bone Cysts, Aneurysmal"
C0155820,Acute bronchitis and bronchiolitis
C0155877,Allergic asthma
C0155880,Intrinsic asthma
C0162309,Adrenoleukodystrophy
C0162429,Malnutrition
C0162565,Acute intermittent porphyria
C0206081,Hyperandrogenism
C0206624,Hepatoblastoma
C0206694,Mucoepidermoid Carcinoma
C0206698,Cholangiocarcinoma
C0221002,"Hyperparathyroidism, Primary"
C0221043,Liddle Syndrome
C0221376,Hydrosalpinx (disease)
C0221757,alpha 1-Antitrypsin Deficiency
C0235063,Respiratory Depression
C0236734,Caffeine related disorders
C0236969,Substance-Related Disorders
C0238074,Chronic pulmonary heart disease
C0238093,Stenosis of duodenum
C0238339,Hereditary pancreatitis
C0239134,Productive Cough
C0239182,Watery diarrhoea
C0241355,Small testicle
C0242350,Erectile dysfunction
C0264222,Acute upper respiratory infection
C0264408,Childhood asthma
C0265780,Congenital absence of lung
C0266270,Pancreas divisum
C0266292,Congenital anomaly of the kidney
C0266444,Congenital absence of vas deferens
C0267557,Secretory diarrhea
C0267662,Congenital chloride diarrhea
C0267792,Hepatobiliary disease
C0267818,Bile duct proliferation
C0267937,Acute recurrent pancreatitis
C0267963,Exocrine pancreatic insufficiency
C0268181,"Lactose Intolerance, Adult Type"
C0268312,Progressive intrahepatic cholestasis (disorder)
C0268532,Deficiency of prolidase
C0271093,Stargardt's disease
C0271453,Serous otitis media
C0271650,Impaired glucose tolerance
C0272170,Shwachman syndrome
C0272187,Congenital leukocyte adherence deficiency
C0278134,Absence of sensation
C0281361,Adenocarcinoma of pancreas
C0302142,Deformity
C0302592,Cervix carcinoma
C0314719,Dryness of eye
C0332853,Anastomosis
C0332882,congenital obstruction
C0332909,Congenital unilateral absence
C0332910,bilateral agenesis
C0333133,Mucus cast
C0334037,Intestinal metaplasia
C0334299,Carcinoid tumor no ICD-O subtype
C0339985,Idiopathic bronchiectasis
C0340037,Young Syndrome
C0340100,High altitude pulmonary edema
C0340238,Infectious disorder of bronchus
C0341306,Microvillus inclusion disease
C0341471,Idiopathic chronic pancreatitis
C0342488,"Mineralocorticoid Excess Syndrome, Apparent"
C0343641,Human papilloma virus infection
C0346627,Intestinal Cancer
C0346648,Malignant tumor of exocrine pancreas
C0375023,Respiratory syncytial virus (RSV) infection in conditions classified elsewhere and of unspecified site
C0376670,"Pancreatitis, Alcoholic"
C0392164,Pulmonary Cystic Fibrosis
C0392171,Influenza-like symptoms
C0394005,Ataxic cerebral palsy
C0398349,Distal intestinal obstruction syndrome
C0400979,Obstruction of biliary tree
C0403814,Congenital bilateral aplasia of vas deferens
C0403819,Acquired obstructive azoospermia
C0403823,Asthenozoospermia
C0403824,Teratozoospermia
C0424295,Hyperactive behavior
C0426576,Gastrointestinal symptom
C0431129,Adamantinous Craniopharyngioma
C0432474,Klinefelter's syndrome - male with more than two X chromosomes
C0449439,Carrier status
C0476273,Respiratory distress
C0520571,Fibrosis of bile duct
C0522070,Pancreatic symptom
C0542519,Congenital absence of kidney
C0546837,Malignant neoplasm of esophagus
C0546884,Hypovolemia
C0546982,Cystic fibrosis with meconium ileus
C0566602,Primary sclerosing cholangitis
C0574143,Liver calculus
C0598608,Hyperhomocysteinemia
C0600260,"Lung Diseases, Obstructive"
C0685938,Malignant neoplasm of gastrointestinal tract
C0694549,Community acquired pneumonia
C0694550,Recurrent pneumonia
C0699949,airway disease
C0729353,Subfertility
C0740266,Anal and rectal conditions
C0740858,Substance abuse problem
C0746102,Chronic lung disease
C0747198,pancreatitis idiopathic
C0748355,Acute respiratory distress
C0810032,Pancreatic disorders (not diabetes)
C0848676,"Subfertility, Male"
C0853277,Pseudo-Bartter syndrome
C0854076,Distal ileal obstruction syndrome
C0854135,Pseudomonas aeruginosa infection
C0856727,Cholesterol gallstones
C0860006,Hypotonic dehydration
C0876973,Infectious Lung Disorder
C0877664,Gastrointestinal cramps
C0878544,Cardiomyopathies
C0878787,Growth failure
C0917731,Male sterility
C0947751,Vascular inflammations
C0948379,Impaired insulin secretion
C0948780,Rhinosinusitis
C0948783,Bronchopulmonary infection
C1145670,Respiratory Failure
C1257796,"Choledochal Cyst, Type II"
C1257797,"Choledochal Cyst, Type III"
C1257798,"Choledochal Cyst, Type IV"
C1257799,"Choledochal Cyst, Type V"
C1257958,Glucose Metabolism Disorders
C1279945,Acute interstitial pneumonia
C1285162,Degenerative disorder
C1291314,Deficiency of monooxygenase
C1292769,Precursor B-cell lymphoblastic leukemia
C1301752,Respiratory morbidity
C1332549,Bilateral Carcinoma
C1332977,Childhood Leukemia
C1335302,Pancreatic Ductal Adenocarcinoma
C1384582,Primary testicular failure
C1384583,Congenital absence of germinal epithelium of testes
C1443924,Severe diarrhea
C1510472,Drug Dependence
C1519383,Smoking Behaviors
C1527396,Fibrocystic Disease of Pancreas
C1567435,Polycystic Kidney - body part
C1608955,Mycobacterium abscessus Infection
C1609433,Congenital absence of kidneys syndrome
C1611743,Familial (FPAH)
C1619700,RENAL ADYSPLASIA
C1720830,Painful Bladder Syndrome
C1720983,Channelopathies
C1800706,Idiopathic Pulmonary Fibrosis
C1827849,IgE-mediated allergic asthma
C1832661,ANOPHTHALMIA AND PULMONARY HYPOPLASIA
C1836923,Gastrointestinal dysmotility
C1840264,IMMUNE SUPPRESSION
C1842402,TROPICAL CALCIFIC PANCREATITIS
C1842406,Pancreatic calcification
C1847540,"Azoospermia, Nonobstructive"
C1848701,Elevated hepatic transaminase
C1853926,NONAKA MYOPATHY
C1856646,Elevated sweat chloride
C1857231,LACTASE PERSISTENCE
C1862265,Increased circulating gonadotropin level
C1865433,"VAS DEFERENS, CONGENITAL BILATERAL ABSENCE OF"
C1865553,"HYPERTRYPSINEMIA, NEONATAL, SUSCEPTIBILITY TO"
C1963165,"Malabsorption, CTCAE"
C2169795,Recurrent bronchopulmonary infections
C2242728,Cystic fibrosis related diabetes
C2315100,Pediatric failure to thrive
C2347126,Microscopic Polyarteritis
C2350344,Chronic Lung Injury
C2609129,Autoimmune pancreatitis
C2711227,Steatohepatitis
C2718001,Protein Misfolding Disorders
C2733595,Pulmonary Mycobacterium avium complex infection
C2749757,BRONCHIECTASIS WITH OR WITHOUT ELEVATED SWEAT CHLORIDE 1
C2827436,Liver Disease Associated with Cystic Fibrosis
C2931038,"Pancreatic carcinoma, familial"
C2931404,Albright's hereditary osteodystrophy
C2931822,Nasopharyngeal carcinoma
C2936423,Echogenic Bowel
C2936781,Generalized Myotonia of Thomsen
C2939175,Meconium ileus
C2973725,Pulmonary arterial hypertension
C3160815,Intraductal papillary mucinous neoplasm
C3160897,Opioid-Induced Constipation
C3163798,Recurrent lower respiratory tract infection
C3203102,Idiopathic pulmonary arterial hypertension
C3266262,Multiple Chronic Conditions
C3469186,"HEMOCHROMATOSIS, TYPE 1"
C3469605,"PSEUDOHYPOALDOSTERONISM, TYPE IID"
C3494506,"Pseudohypoparathyroidism, Type Ia"
C3686778,Biliary hyperplasia
C3714745,Malabsorption
C3806482,Recurrent respiratory infections
C3808022,Episodic abdominal pain
C3825312,Cystic fibrosis in children
C3887638,Failure to thrive in infant
C3888090,Early onset torsion dystonia
C4016791,SWEAT CHLORIDE ELEVATION WITHOUT CYSTIC FIBROSIS
C4016792,"PANCREATITIS, IDIOPATHIC, SUSCEPTIBILITY TO"
C4017631,"BRONCHIECTASIS WITH OR WITHOUT ELEVATED SWEAT CHLORIDE 1, MODIFIER OF"
C4021107,Non-obstructive azoospermia
C4022560,Splanchnic vein thrombosis
C4022922,Abnormal enzyme/coenzyme activity
C4023106,Obstructive azoospermia
C4023112,Acute infectious pneumonia
C4023452,Elevated C-reactive protein level
C4023591,Abnormality of circulating enzyme level
C4025204,Recurrent Haemophilus influenzae infections
C4025731,Abnormal thrombosis
C4048270,Decreased antibody level in blood
C4048306,Multiple endocrine neoplasia Type 2
C4048328,cervical cancer
C4048750,Sphincter of Oddi Dyskinesia
C4080064,Autosomal Dominant Hereditary Pancreatitis
C4277690,Ciliopathies
C4282128,PATENT DUCTUS ARTERIOSUS 1
C4288936,Hyperkalemic Mineralocorticoid Resistance
C4302455,Pancreatitis due to pancreatic duct obstruction
C4316881,Prescription Drug Abuse
C4476900,Abnormal pancreatic duct morphology
C4524087,Bile acid diarrhea
C4546076,Classical cystic fibrosis
C4546077,Atypical cystic fibrosis
C4546414,Left renal agenesis
C4551596,Abnormal renal morphology
C4551632,Recurrent pancreatitis
C4551720,Primary Ciliary Dyskinesia
C4552000,Episodic Kinesigenic Dyskinesia 1
C4552766,Miscarriage
C4552938,"Productive Cough, CTCAE"
C4554215,Duchenne or Becker muscular dystrophy
C4732730,Blood spots
C0006840,Candidiasis
C0009186,Coccidioidomycosis
C0010414,Infection by Cryptococcus neoformans
C0015624,Fanconi Syndrome
C0016952,Galactosemias
C0020443,Hypercholesterolemia
C0022283,Incontinentia Pigmenti Achromians
C0023281,Leishmaniasis
C0023290,"Leishmaniasis, Visceral"
C0023903,Liver neoplasms
C0023980,Longevity
C0026946,Mycoses
C0033740,Protozoan Infections
C0041234,Chagas Disease
C0041296,Tuberculosis
C0085436,"Meningitis, Cryptococcal"
C0086543,Cataract
C0153252,Systemic candidiasis
C0154251,Lipid Metabolism Disorders
C0220724,"CONSTRICTING BANDS, CONGENITAL"
C0221244,Seborrheic dermatitis of scalp
C0238013,Invasive aspergillosis
C0268151,Classical galactosemia
C0276653,Invasive Pulmonary Aspergillosis
C0300934,Primary Amebic Meningoencephalitis
C0400966,Non-alcoholic Fatty Liver Disease
C0423775,Scurfiness of scalp
C0877008,Enzyme inhibition disorder
C2931187,Nephropathic cystinosis
C2931826,Potassium aggravated myotonia
C2936791,"Antley-Bixler Syndrome, Autosomal Dominant"
C0007138,"Carcinoma, Transitional Cell"
C0220630,Adult Liver Carcinoma
C0279000,Liver and Intrahepatic Biliary Tract Carcinoma
C0345904,Malignant neoplasm of liver
C0596887,mathematical ability
C1134719,Invasive Ductal Breast Carcinoma
C1512409,Hepatocarcinogenesis
C2145472,Urothelial Carcinoma
C3544205,Ovarian clear cell carcinoma
C0011127,Pressure Ulcer
C0011881,Diabetic Nephropathy
C0019357,"Keratitis, Herpetic"
C0022578,Keratoconus
C0036690,Septicemia
C0037284,Skin lesion
C0041327,"Tuberculosis, Pulmonary"
C0041834,Erythema
C0201874,Amino acids measurement
C0243026,Sepsis
C0267375,Chronic colitis
C0268647,Lysinuric Protein Intolerance
C0428883,Diastolic blood pressure
C0521707,Bilateral cataracts (disorder)
C0523801,Ornithine measurement
C0877173,Food aversion
C0949059,Polyp of large intestine
C0007193,"Cardiomyopathy, Dilated"
C0009241,Cognition Disorders
C0013221,Drug toxicity
C0014544,Epilepsy
C0018799,Heart Diseases
C0026769,Multiple Sclerosis
C0030499,Parasitic Diseases
C0038525,Subarachnoid Hemorrhage
C0041755,Adverse reaction to drug
C0085220,Cerebral Amyloid Angiopathy
C0151744,Myocardial Ischemia
C0234119,Neuromuscular inhibition
C0234233,Sore to touch
C0333463,Senile Plaques
C0338656,Impaired cognition
C0521158,Recurrent tumor
C1449563,"Cardiomyopathy, Familial Idiopathic"
C4317109,Epileptic Seizures
C0002152,Alloxan Diabetes
C0004238,Atrial Fibrillation
C0011853,"Diabetes Mellitus, Experimental"
C0014070,Encephalomyelitis
C0015695,Fatty Liver
C0018801,Heart failure
C0018802,Congestive heart failure
C0019193,"Hepatitis, Toxic"
C0020456,Hyperglycemia
C0020459,Hyperinsulinism
C0022660,"Kidney Failure, Acute"
C0029463,Osteosarcoma
C0034345,Pyruvate Dehydrogenase Complex Deficiency Disease
C0038433,Streptozotocin Diabetes
C0279606,Childhood Hepatocellular Carcinoma
C0279607,Adult Hepatocellular Carcinoma
C0342649,Vascular calcification
C0342788,Renal carnitine transport defect
C0376618,Endotoxemia
C0585442,Osteosarcoma of bone
C0860207,Drug-Induced Liver Disease
C0919267,ovarian neoplasm
C1140680,Malignant neoplasm of ovary
C1262760,"Hepatitis, Drug-Induced"
C1318485,Liver regeneration disorder
C1332986,Childhood Osteosarcoma
C1391732,Cancer cachexia
C1561643,Chronic Kidney Diseases
C3241937,Nonalcoholic Steatohepatitis
C3658290,Drug-Induced Acute Liver Injury
C4020732,Mitochondrial abnormalities
C4277682,Chemical and Drug Induced Liver Injury
C4279912,Chemically-Induced Liver Toxicity
C4529962,Fatty Liver Disease
C0004134,Ataxia
C0018524,Hallucinations
C0018784,Sensorineural Hearing Loss (disorder)
C0018979,Hemianopsia
C0028077,Nyctalopia
C0035334,Retinitis Pigmentosa
C0036454,Scotoma
C0154860,Hereditary retinal dystrophy
C0154920,Pigmentary iris degeneration
C0271097,Usher Syndrome
C0339526,Autosomal recessive retinitis pigmentosa
C0339789,Congenital deafness
C0341305,Autoimmune enteropathy
C0342288,Insulin-dependent diabetes mellitus secretory diarrhea syndrome
C0452138,"Sensorineural hearing loss, bilateral"
C0456909,Blindness
C0476397,Electroretinogram abnormal
C0520947,Clumsiness - motor delay
C0557874,Global developmental delay
C0740457,Malignant neoplasm of kidney
C0854723,Retinal Dystrophies
C0877104,Retinal toxicity
C1378703,Renal carcinoma
C1384666,hearing impairment
C1568247,"Usher Syndrome, Type I"
C1848604,"USHER SYNDROME, TYPE IC"
C1848606,Vestibular hypofunction
C1848638,"USHER SYNDROME, TYPE IB (disorder)"
C1848639,"USHER SYNDROME, TYPE IA, FORMERLY"
C1848640,"USHER SYNDROME, TYPE I, FRENCH VARIETY, FORMERLY"
C1854301,Motor delay
C1855685,Undetectable electroretinogram
C1855925,"Hyperopia, High"
C1865866,Congenital sensorineural hearing loss
C1865870,"Deafness, Autosomal Recessive 18"
C2931205,"Usher syndrome, type 1A"
C2931206,"Usher syndrome, type 1B"
C2931207,"Usher syndrome, type 1C"
C3279222,Aplasia/Hypoplasia of the cerebellum
C3665346,Unspecified visual loss
C3665347,Visual Impairment
C3665386,Abnormal vision
C3711374,Nonsyndromic Deafness
C4021800,Abnormality of dental enamel
C4023018,Subcortical cerebral atrophy
C4024656,Absent vestibular function
C4025858,Abnormal cochlea morphology
C4551583,Cerebral cortical atrophy
C4551714,Rod-Cone Dystrophy
C0008073,Developmental Disabilities
C0026351,Moderate intellectual disability
C0026470,Monoclonal Gammopathy of Undetermined Significance
C0030297,Pancreatic Neoplasm
C0042961,Intestinal Volvulus
C0085695,Chronic gastritis
C0233715,Speech impairment
C0278488,Carcinoma breast stage IV
C0424503,Dysmorphic facies
C0424605,Developmental delay (disorder)
C0856975,Autistic behavior
C1850049,Clinodactyly of the 5th finger
C2363741,HIV-1 infection
C2981712,Ocular Adnexal Lymphoma
C4022810,Abnormality of nervous system morphology
